movieID,movieImg,movieMoreUrl,movieTitle,movieYear,movieTime,movieAvgRating,movieRatingCount
QW5hdG9taWUgZCd1bmUgY2h1dGU=,"https://m.media-amazon.com/images/M/MV5BMDBiYmRkNjUtYzc4My00NGFiLWE2NWUtMGU1ZDA1NTQ3ZjQwXkEyXkFqcGdeQXVyMTM1NjM2ODg1._V1_QL75_UY207_CR1,0,140,207_.jpg",/title/tt17009710/?ref_=chtmvm_t_43,Anatomie d'une chute,2023,2h 31m,7.7,121K
QW5uYQ==,"https://m.media-amazon.com/images/M/MV5BOWUyYTU4NTQtYWQ2Mi00NzE0LTk0OTMtN2MzNjRkZjFkZTU2XkEyXkFqcGdeQXVyNDkzNTM2ODg@._V1_QL75_UY207_CR3,0,140,207_.jpg",/title/tt7456310/?ref_=chtmvm_t_44,Anna,2019,1h 58m,6.6,95K
Sm9rZXI6IEZvbGllIOAgRGV1eA==,"https://m.media-amazon.com/images/M/MV5BNTI0MjIwMDAtYWY1ZC00MDUyLWI0MzMtZGNjODRlN2Y3ZmE2XkEyXkFqcGdeQXVyMTM1NjM2ODg1._V1_QL75_UY207_CR13,0,140,207_.jpg",/title/tt11315808/?ref_=chtmvm_t_45,Joker: Folie à Deux,2024,R,,
TWlncmF0aW9u,"https://m.media-amazon.com/images/M/MV5BYTIxZDM5YWItM2Y1My00ODg5LTkzNjAtMWFlZTNlODg0MzEyXkEyXkFqcGdeQXVyMTA5ODEyNTc5._V1_QL75_UX140_CR0,1,140,207_.jpg",/title/tt6495056/?ref_=chtmvm_t_46,Migration,2023,1h 23m,6.7,24K
VGhlIFRhbGVudGVkIE1yLiBSaXBsZXk=,"https://m.media-amazon.com/images/M/MV5BODA3NDhiZjYtYTk2NS00ZWYwLTljYTQtMjU0NzcyMGEzNTU2L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX140_CR0,0,140,207_.jpg",/title/tt0134119/?ref_=chtmvm_t_47,The Talented Mr. Ripley,1999,2h 19m,7.4,243K
VW5zdW5nIEhlcm8=,"https://m.media-amazon.com/images/M/MV5BM2Q0ZmFjNjQtM2U4OC00YWViLWFhYTUtMmMwNmI2MDEwNmJmXkEyXkFqcGdeQXVyMjM4NTM5NDY@._V1_QL75_UX140_CR0,1,140,207_.jpg",/title/tt23638614/?ref_=chtmvm_t_48,Unsung Hero,2024,1h 52m,8.0,702
SUY=,"https://m.media-amazon.com/images/M/MV5BNWViZjhjZjYtZTBkMy00Nzg0LTg1ODgtYjMxNjM3MDJmNWNkXkEyXkFqcGdeQXVyMTM1NjM2ODg1._V1_QL75_UY207_CR13,0,140,207_.jpg",/title/tt11152168/?ref_=chtmvm_t_49,IF,2024,1h 44m,,
WA==,"https://m.media-amazon.com/images/M/MV5BMTJiMmE5YWItOWZjYS00YTg0LWE0MTYtMzg2ZTY4YjNkNDEzXkEyXkFqcGdeQXVyMTAzMDg4NzU0._V1_QL75_UY207_CR13,0,140,207_.jpg",/title/tt13560574/?ref_=chtmvm_t_50,X,2022,1h 45m,6.5,173K
VGhlIEdvZGZhdGhlcg==,"https://m.media-amazon.com/images/M/MV5BM2MyNjYxNmUtYTAwNi00MTYxLWJmNWYtYzZlODY3ZTk3OTFlXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_QL75_UY207_CR3,0,140,207_.jpg",/title/tt0068646/?ref_=chtmvm_t_51,The Godfather,1972,2h 55m,9.2,2M
QXNwaGFsdCBDaXR5,"https://m.media-amazon.com/images/M/MV5BNTg0ODI4OTUtMDNiMi00NDA4LWI3NDAtYjFlNTg1ZDc0ZDY1XkEyXkFqcGdeQXVyMDc5ODIzMw@@._V1_QL75_UX140_CR0,0,140,207_.jpg",/title/tt9663896/?ref_=chtmvm_t_52,Asphalt City,2023,2h 5m,6.1,2K
