movieID,specKey,specValue,specLink
UG9vciBUaGluZ3M=,Laboratory,"Andec Cinegrell Filmtechnik, Berlin, Germany(film processing: Ektachrome)Cinelab, London, UK(film scanning)Company 3, London, UK(digital intermediate)Magyar Filmlaboratórium Vallalat, Budapest, Hungary(film processing)",
UG9vciBUaGluZ3M=,Negative Format,"35 mm(also horizontal, Kodak Vision3 500T 5219, Eastman Double-X 5222, Ektachrome 100D 5294)",
UG9vciBUaGluZ3M=,Cinematographic Process,"Digital Intermediate(4K, master format)Super 35(source format)VistaVision(source format, some scenes)",
UG9vciBUaGluZ3M=,Printed Film Format,35 mmD-CinemaDCP Digital Cinema Package,
UG9vciBUaGluZ3M=,,,
UG9vciBUaGluZ3M=,,,
Um9hZCBIb3VzZQ==,Runtime,2h 1m(121 min),
Um9hZCBIb3VzZQ==,Sound mix,Dolby Digital,/search/title/?sound_mixes=dolby_digital&ref_=ttspec_spec_2
Um9hZCBIb3VzZQ==,Color,Color,/search/title/?colors=color&ref_=ttspec_spec_3
Um9hZCBIb3VzZQ==,Aspect ratio,2.39 : 1,
Um9hZCBIb3VzZQ==,Camera,"Red Komodo, Leitz M 0.8 LensesRed V-Raptor, Leitz M 0.8 Lenses",
Um9hZCBIb3VzZQ==,Laboratory,"Company 3Company 3, Los Angeles (CA), USA(dailies)Company 3, New York (NY), USA(color and finish)",
Um9hZCBIb3VzZQ==,Negative Format,"Redcode RAW(6K, 8K)",
Um9hZCBIb3VzZQ==,Cinematographic Process,"Digital Intermediate(4K, master format)Redcode RAW(6K, 8K, source format)",
Um9hZCBIb3VzZQ==,,,
Um9hZCBIb3VzZQ==,,,
RHVuZQ==,Runtime,2h 35m(155 min),
RHVuZQ==,Sound mix,12-Track Digital Sound(IMAX version)Sonics-DDP(IMAX version)DTS(DTS: X)Auro 11.1Dolby Surround 7.1Dolby AtmosDolby DigitalIMAX 6-Track,/search/title/?sound_mixes=12_track_digital_sound&ref_=ttspec_spec_2
RHVuZQ==,Color,Color,/search/title/?colors=color&ref_=ttspec_spec_3
RHVuZQ==,Aspect ratio,1.43 : 1(IMAX Laser: some scenes)1.90 : 1(Digital IMAX: some scenes)2.39 : 1,
RHVuZQ==,Camera,"Arri Alexa LF IMAX, Panavision H-Series and Ultra Vista LensesArri Alexa Mini LF IMAX, Panavision H-Series and Ultra Vista Lenses",
RHVuZQ==,Laboratory,"FotoKem Creative Services, Burbank (CA), USA(digital intermediate)FotoKem nextLAB(digital dailies)",
RHVuZQ==,Negative Format,Codex,
RHVuZQ==,Cinematographic Process,"ARRIRAW(4.5K, source format)Digital Intermediate(4K, master format)Panavision(anamorphic, source format)",
RHVuZQ==,Printed Film Format,D-Cinema(also 3-D version)DCP Digital Cinema PackageVideo(UHD),
RHVuZQ==,,,
RHVuZQ==,,,
T3BwZW5oZWltZXI=,Runtime,3h(180 min),
T3BwZW5oZWltZXI=,Sound mix,IMAX 6-TrackDolby DigitalDatasatDTS 70 mm,/search/title/?sound_mixes=imax_6_track&ref_=ttspec_spec_2
T3BwZW5oZWltZXI=,Color,ColorBlack and White,/search/title/?colors=color&ref_=ttspec_spec_3
T3BwZW5oZWltZXI=,Aspect ratio,1.43 : 1(IMAX 70mm/Dual Laser: some scenes)1.78 : 1(IMAX Blu-ray & 4K UHD - some scenes)1.90 : 1(IMAX Xenon/Single Laser: some scenes)2.20 : 1(70 mm and Digital)2.35 : 1(35 mm)2.76:1(IMAX version: prologue),
T3BwZW5oZWltZXI=,Camera,"Arriflex 435, Panavision Primo Lenses(some shots)IMAX MKIII, Panavision Sphero 65 and Hasselblad LensesIMAX MKIV, Panavision Sphero 65 and Hasselblad LensesIMAX MSM 9802, Panavision Sphero 65 and Hasselblad LensesPanavision Panaflex System 65 Studio, Panavision Panaspeed and System 65 Lenses",
T3BwZW5oZWltZXI=,Laboratory,"FotoKem Laboratory, Burbank (CA), USA(digital 65mm finishing)FotoKem nextLAB(65mm laboratory services, dailies)",
